fips,Station_C_1,Station_C_2,WBAN_C_1,WBAN_C_2,dist_f_1,dist_f_2,county,state,pop_density,pop
19031,725462,725462,14937,99999,23.26517159,23.28521074,Cedar,Iowa,32.12072544,18627
19033,725485,720643,14940,54940,6.019972606,21.15612761,Cerro Gordo,Iowa,74.70646191,42450
19035,720344,720344,54920,99999,3.455389715,3.75502602,Cherokee,Iowa,19.45091948,11235
19037,725463,725463,14966,99999,14.83668682,15.12100795,Chickasaw,Iowa,23.69524077,11933
19039,720701,720701,54942,99999,5.254168392,5.515130482,Clarke,Iowa,21.75236916,9395
19041,726500,726500,99999,14972,5.831685959,6.184361675,Clay,Iowa,28.25165897,16016
19043,726444,726444,04963,99999,16.30897195,16.44967376,Clayton,Iowa,22.55456451,17549
19045,725473,744550,94979,94982,11.18107402,19.85671812,Clinton,Iowa,66.83219928,46429
19047,725477,725477,04917,99999,3.538023648,3.539215289,Crawford,Iowa,23.51415536,16820
19049,720412,725460,54943,14933,11.66791635,22.53864778,Dallas,Iowa,158.8284146,93453
19051,999999,725465,14948,14950,24.37191527,24.97032057,Davis,Iowa,17.8910088,9000
19053,725499,725499,99999,94991,9.371182921,9.511336385,Decatur,Iowa,14.7963817,7870
19055,725475,725475,04953,99999,19.92861681,20.31902625,Delaware,Iowa,29.39865458,17011
19057,725420,720309,14931,04947,10.12690789,17.27721308,Des Moines,Iowa,93.63675883,38967
19059,726500,726500,99999,14972,14.57184731,15.00009682,Dickinson,Iowa,45.35311694,17258
19061,725470,999999,94908,14934,10.33257477,11.18375928,Dubuque,Iowa,160.0150983,97311
19063,726499,726499,94971,99999,3.796231974,3.944875873,Emmet,Iowa,23.23898272,9208
19065,725488,725488,99999,04955,13.8759631,14.16104691,Fayette,Iowa,26.91522989,19650
19067,725463,725463,99999,14966,8.69590338,9.029664192,Floyd,Iowa,31.27824327,15642
19069,722331,722331,54941,99999,18.28624093,18.34574218,Franklin,Iowa,17.34906367,10070
19071,725467,725467,99999,04973,9.829732491,10.04126608,Fremont,Iowa,13.656229,6960
19073,720412,725468,54943,99999,18.84702976,19.83427625,Greene,Iowa,15.61302485,8888
